sigma_in_sq,k_gain,alpha_gain_noise,s_max,amplitude_s_true,C_proc,kappa,phi1,lambda_cost,w_IT,w_TPE,json_sweep_key,optimal_g_utility,max_utility,it_final_at_opt_g,tpe_at_opt_g,eg_at_opt_g,mi_raw_at_opt_g
0.0025000000000000005,0.01,1.0,1.0,1.0,2.0,0.05,1.0,0.1,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 1.0, 2.0, 0.05, 1.0, 0.1, 1.0, 0.5)",1.0673469387755103,1.9807829824895302,2.0,0.027760565633184284,0.05336734693877552,3.4628027029061523
0.0025000000000000005,0.01,1.0,1.0,1.0,2.0,0.05,1.25,0.01,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 1.0, 2.0, 0.05, 1.25, 0.01, 1.0, 0.5)",1.0673469387755103,1.985528916355371,2.0,0.027857286519639955,0.054244038480856994,3.4797232214915286
0.0025000000000000005,0.01,1.0,1.0,1.0,2.0,0.05,1.25,0.05,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 1.0, 2.0, 0.05, 1.25, 0.05, 1.0, 0.5)",1.0673469387755103,1.9832674769972205,2.0,0.028040642157473396,0.054244038480856994,3.4368459851922903
0.0025000000000000005,0.01,1.0,1.0,1.0,2.0,0.05,1.25,0.1,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 1.0, 2.0, 0.05, 1.25, 0.1, 1.0, 0.5)",1.0673469387755103,1.9806944400511133,2.0,0.02776231220160206,0.054244038480856994,3.4167433756803294
0.0025000000000000005,0.01,1.0,1.0,1.0,2.0,0.1,1.0,0.01,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 1.0, 2.0, 0.1, 1.0, 0.01, 1.0, 0.5)",1.0673469387755103,1.9849545175050747,2.0,0.027956271112299813,0.10673469387755104,3.4612738554116222
0.0025000000000000005,0.01,1.0,1.0,1.0,2.0,0.1,1.0,0.05,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 1.0, 2.0, 0.1, 1.0, 0.05, 1.0, 0.5)",1.0673469387755103,1.9806722862553523,2.0,0.02798195810154052,0.10673469387755104,3.475148384739499
0.0025000000000000005,0.01,1.0,1.0,1.0,2.0,0.1,1.0,0.1,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 1.0, 2.0, 0.1, 1.0, 0.1, 1.0, 0.5)",0.9061224489795919,1.9755571681868578,2.0,0.030763214646693248,0.0906122448979592,3.4699539772264436
0.0025000000000000005,0.01,1.0,1.0,1.0,2.0,0.1,1.25,0.01,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 1.0, 2.0, 0.1, 1.25, 0.01, 1.0, 0.5)",1.0673469387755103,1.9851416875555736,2.0,0.027546863349618273,0.10848807696171399,3.4342756698554
0.0025000000000000005,0.01,1.0,1.0,1.0,2.0,0.1,1.25,0.05,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 1.0, 2.0, 0.1, 1.25, 0.05, 1.0, 0.5)",1.0673469387755103,1.9807661605845104,2.0,0.027618871134807852,0.10848807696171399,3.440016877222388
0.0025000000000000005,0.01,1.0,1.0,1.0,2.0,0.1,1.25,0.1,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 1.0, 2.0, 0.1, 1.25, 0.1, 1.0, 0.5)",0.9061224489795919,1.9756960517495459,2.0,0.030926620303540604,0.08840638098683645,3.4894992539211027
